"case","row_variable","column_variable","countries","row","column","observed","expected","row_percentage","column_percentage","chi_square","degrees_freedom","p_value","cramers_v"
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Orthodox (Russian/Greek/etc.)","No",0,0.438082556591212,0,0,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Orthodox (Russian/Greek/etc.)","Yes",1,0.561917443408788,100,0.23696682464455,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Other","No",3,6.57123834886818,20,0.911854103343465,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Other","Yes",12,8.42876165113182,80,2.8436018957346,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Other Christian (Jehova withness...)","No",34,122.225033288948,12.1863799283154,10.3343465045593,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"NZL_Q289_BY_Q165","Q289","Q165","NZL","Other Christian (Jehova withness...)","Yes",245,156.774966711052,87.8136200716846,58.0568720379147,347.469573633882,8,3.14029521071842e-70,0.680202810706913
"AUS_NZL_COUNTRY_BY_Q167","COUNTRY","Q167","AUS;NZL","Australia","No",710,724.190800681431,72.8205128205128,54.2813455657492,2.42191423873109,1,0.119648642495386,0.0370851211627894
"AUS_NZL_COUNTRY_BY_Q167","COUNTRY","Q167","AUS;NZL","Australia","Yes",265,250.809199318569,27.1794871794872,58.4988962472406,2.42191423873109,1,0.119648642495386,0.0370851211627894
"AUS_NZL_COUNTRY_BY_Q167","COUNTRY","Q167","AUS;NZL","New Zealand","No",598,583.809199318569,76.0814249363868,45.7186544342508,2.42191423873109,1,0.119648642495386,0.0370851211627894
"AUS_NZL_COUNTRY_BY_Q167","COUNTRY","Q167","AUS;NZL","New Zealand","Yes",188,202.190800681431,23.9185750636132,41.5011037527594,2.42191423873109,1,0.119648642495386,0.0370851211627894
"ALL_Q165_BY_Q167","Q165","Q167","ALL","No","No",9393,4135.75486494336,90.282583621684,40.370481798255,13490.0385545655,1,0,0.480080010661502
"ALL_Q165_BY_Q167","Q165","Q167","ALL","No","Yes",1011,6268.24513505664,9.71741637831603,2.86694646098004,13490.0385545655,1,0,0.480080010661502
"ALL_Q165_BY_Q167","Q165","Q167","ALL","Yes","No",13874,19131.2451350566,28.82789286679,59.629518201745,13490.0385545655,1,0,0.480080010661502
"ALL_Q165_BY_Q167","Q165","Q167","ALL","Yes","Yes",34253,28995.7548649434,71.17210713321,97.13305353902,13490.0385545655,1,0,0.480080010661502
"NZL_Q177_BY_Q260","Q177","Q260","NZL","1","Female",357,352.171610169492,58.5245901639344,65.5045871559633,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","1","Male",253,257.828389830508,41.4754098360656,63.4085213032581,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","10","Female",9,9.23728813559322,56.25,1.65137614678899,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","10","Male",7,6.76271186440678,43.75,1.75438596491228,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","2","Female",68,75.6302966101695,51.9083969465649,12.4770642201835,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","2","Male",63,55.3697033898305,48.0916030534351,15.7894736842105,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","3","Female",46,43.2997881355932,61.3333333333333,8.44036697247707,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","3","Male",29,31.7002118644068,38.6666666666667,7.26817042606516,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","4","Female",18,16.7425847457627,62.0689655172414,3.30275229357798,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","4","Male",11,12.2574152542373,37.9310344827586,2.75689223057644,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","5","Female",18,17.8972457627119,58.0645161290323,3.30275229357798,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","5","Male",13,13.1027542372881,41.9354838709677,3.25814536340852,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","6","Female",13,11.5466101694915,65,2.38532110091743,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","6","Male",7,8.45338983050847,35,1.75438596491228,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","7","Female",14,12.7012711864407,63.6363636363636,2.56880733944954,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","7","Male",8,9.29872881355932,36.3636363636364,2.00501253132832,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","8","Female",1,4.04131355932203,14.2857142857143,0.18348623853211,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","8","Male",6,2.95868644067797,85.7142857142857,1.50375939849624,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","9","Female",1,1.73199152542373,33.3333333333333,0.18348623853211,9.50951224047438,9,0.39162997834272,0.100367503944056
"NZL_Q177_BY_Q260","Q177","Q260","NZL","9","Male",2,1.26800847457627,66.6666666666667,0.50125313283208,9.50951224047438,9,0.39162997834272,0.100367503944056
